epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,2100.59,0.4963,0.41914,0.95621,0.98341,0.97532,0.99253,0.95459,0.28654,0.23682,0.79326,0.001208,0.001208,0.001208
14,2260.2,0.48969,0.41353,0.95329,0.98365,0.97588,0.99243,0.95109,0.29221,0.23639,0.79846,0.001142,0.001142,0.001142
15,2426.33,0.48361,0.40636,0.94964,0.98435,0.97775,0.99314,0.95362,0.30578,0.23185,0.79803,0.001076,0.001076,0.001076
16,2592.42,0.47673,0.40251,0.94757,0.98576,0.9742,0.9936,0.95546,0.2897,0.22464,0.79665,0.00101,0.00101,0.00101
17,2753.21,0.47241,0.38853,0.94418,0.98728,0.97625,0.9936,0.96012,0.27212,0.21408,0.78884,0.000944,0.000944,0.000944
18,2913.07,0.46804,0.38691,0.94393,0.98606,0.97908,0.99375,0.95952,0.27268,0.21382,0.79044,0.000878,0.000878,0.000878
19,3072.18,0.45872,0.3812,0.93976,0.98991,0.97476,0.99331,0.96391,0.25549,0.20404,0.78709,0.000812,0.000812,0.000812
20,3229.02,0.45442,0.37661,0.93704,0.98883,0.97775,0.99388,0.96379,0.26164,0.20084,0.78231,0.000746,0.000746,0.000746
21,3384.64,0.38289,0.29269,0.89317,0.989,0.98037,0.99393,0.96617,0.27215,0.20022,0.78808,0.00068,0.00068,0.00068
22,3540.38,0.37771,0.28522,0.89434,0.98923,0.97903,0.99418,0.96647,0.26641,0.19465,0.78006,0.000614,0.000614,0.000614
23,3697.19,0.36703,0.27561,0.88598,0.99183,0.97633,0.99422,0.96832,0.25361,0.18871,0.77495,0.000548,0.000548,0.000548
24,3852.72,0.36707,0.26984,0.88887,0.98716,0.98298,0.99438,0.96872,0.25459,0.18601,0.77693,0.000482,0.000482,0.000482
25,4007.03,0.35777,0.26271,0.88118,0.99062,0.97868,0.99435,0.96915,0.25083,0.18331,0.7723,0.000416,0.000416,0.000416
26,4160.26,0.35612,0.25985,0.88385,0.99019,0.98186,0.99444,0.96792,0.25262,0.17951,0.77325,0.00035,0.00035,0.00035
27,4312.29,0.35019,0.25277,0.88219,0.9903,0.98317,0.99449,0.97197,0.24634,0.17515,0.77004,0.000284,0.000284,0.000284
28,4463.81,0.33931,0.24372,0.8725,0.99109,0.98242,0.99455,0.97267,0.24204,0.16965,0.77127,0.000218,0.000218,0.000218
29,4617.06,0.33704,0.23741,0.87645,0.993,0.98203,0.99463,0.97381,0.23568,0.16431,0.76756,0.000152,0.000152,0.000152
30,4765.9,0.33447,0.23357,0.87182,0.99169,0.98171,0.99457,0.97423,0.23557,0.16221,0.76632,8.6e-05,8.6e-05,8.6e-05
1,167.07,0.62911,0.90768,1.00554,0.95711,0.92259,0.97164,0.86627,0.46929,0.50859,0.86587,0.000665269,0.000665269,0.000665269
